,요일,캠퍼스 ,건물,식당,시간대,가격,메뉴,칼로리,만족도
0,월요일,서울캠퍼스,310관,참슬기식당,중식,3200,"(일품1) 부대찌개, 스크램블에그, 숙주무침, 건파래볶음 ",680,13
1,월요일,서울캠퍼스,310관,참슬기식당,중식,4500,"(특식) 감자다시마국, 고등어무조림, 미트볼라따뚜이, 숙주무침, 찐순대,알타리김치 ",780,14
2,월요일,서울캠퍼스,308관,생활관식당,중식,3200,"(일품1) 고추장수제비탕, 계란찜, 쫑상추겉절이, 김치",950,15
3,월요일,서울캠퍼스,308관,생활관식당,중식,3800,"(일품2) 갓김치부대찌개, 계란찜, 쫑상추겉절이, 김치",843,16
4,월요일,서울캠퍼스,308관,생활관식당,중식,4000,(일품3) 소이머쉬룸파스타,894,17
5,월요일,서울캠퍼스,308관 ,생활관식당,중식,2000,(일품4) 오징어입튀김,360,18
6,월요일,서울캠퍼스,308관,생활관식당,석식,3200,"(한식) 소고기우엉볶음, 밥, 만두강정, 콩나물무침, 장국, 단무지",870,19
7,월요일 ,안성캠퍼스,707관,카우잇츠,중식,4500,"(특식) 감자다시마국, 고등어무조림, 미트볼라따뚜이, 숙주무침, 찐순대,알타리김치",780,20
8,월요일,안성캠퍼스,707관,카우잇츠,중식,3200,"(일품1) 부대찌개, 스크램블에그, 숙주무침, 건파래볶음",680,21
9,월요일 ,안성캠퍼스,707관,카우잇츠,석식,3200,"(일품1)닭곰탕, 야채비빔만두, 부추무침,깍두기",780,22
10,화요일,서울캠퍼스,310관,참슬기식당,중식,3200,"(일품1) 대만식돼지고기덮밥, 고로케케찹, 망고푸딩젤리, 단무지, 미소국",810,23
11,화요일,서울캠퍼스,310관,참슬기식당,중식,4500,"(특식) 홍합탕, 깐풍기, 메추리알조림, 해파리냉채, 마카로니샐러드, 깍두기",760,24
12,화요일,서울캠퍼스,308관,생활관식당,중식,3200,"(일품1) 닭곰탕, 핫도그, 채소유자겉절이, 김치",825,25
13,화요일,서울캠퍼스,308관,생활관식당,중식,3800,"(일품2) 장조림김치버터밥, 핫도그, 채소유자겉절이, 김치",943,26
14,화요일,서울캠퍼스,308관,생활관식당,중식,4000,"(일품3) 채소백짬뽕, 가지탕수",854,27
15,화요일,서울캠퍼스,308관,생활관식당,중식,2000,(일품4) 찹쌀꿔바로우,350,28
16,화요일,서울캠퍼스,308관,생활관식당,석식,3200,"(한식) 수제비칼국수, 고기포자찐만두, 단무지, 밥, 허니버터아몬드",800,29
17,화요일,안성캠퍼스,707관,카우잇츠,중식,3200,"(일품1) 대만식돼지고기덮밥, 고로케케찹, 망고푸딩젤리, 단무지, 미소국",810,30
18,화요일,안성캠퍼스,707관,카우잇츠,중식,4500,"(특식) 홍합탕, 깐풍기, 메추리알조림, 동부묵무침, 해파리냉채, 깍두기",760,31
19,화요일,안성캠퍼스,707관,카우잇츠,석식,3200,"(일품1) 뚝배기불고기, 깻잎지, 김치, 요구르트",760,32
20,수요일,서울캠퍼스,310관,참슬기식당,중식,3200,"(일품1) 치즈돈까스, 옥수수스프, 야채샐러드, 단무지",780,33
21,수요일,서울캠퍼스,310관,참슬기식당,중식,4500,"(특식) 꼬치어묵탕, 오삼두루치기, 핫도그케찹, 가지무침, 상추겉절이,김치",750,34
22,수요일,서울캠퍼스,308관,생활관식당,중식,3200,"(일품1) 햄김치찌개, 알감자조림, 유부맛살냉채, 김치",950,35
23,수요일,서울캠퍼스,308관,생활관식당,중식,3800,"(일품2) 황태설렁탕, 알감자조림, 유부맛살냉채, 김치",883,36
24,수요일,서울캠퍼스,308관,생활관식당,중식,4000,(일품3) 로제함박스테이크,940,37
25,수요일,서울캠퍼스,308관,생활관식당,중식,2000,(일품4) 회오리감자,400,38
26,수요일,서울캠퍼스,308관,생활관식당,석식,3200,"(한식) 불닭갈비덮밥, 계란팟국, 환어묵볶음, 꼬시래기무침, 단무지",765,39
27,수요일,안성캠퍼스,707관,카우잇츠,중식,3500,"(일품1) 치즈돈까스, 옥수수스프, 야채샐러드, 김치",780,40
28,수요일,안성캠퍼스,707관,카우잇츠,중식,4500,"(특식) 꼬치어묵탕, 오삼두루치기, 핫도그케찹, 가지굴소스볶음, 상추겉절이, 김치",750,41
29,수요일,안성캠퍼스,707관,카우잇츠,석식,3200,"(일품1) 오므라이스함박스테이크, 가쓰오국, 깍두기",765,42
30,목요일,서울캠퍼스,310관,참슬기식당,중식,3200,"(일품1) 등심돈까스, 미소된장국, 양배추샐러드, 단무지",830,43
31,목요일,서울캠퍼스,310관,참슬기식당,중식,4500,"(특식) 꼬막비빔밥, 두부감자된장국, 감자샐러드, 김치, 황도",740,44
32,목요일,서울캠퍼스,308관,생활관식당,중식,3200,"(일품1) 닭게장, 메콤계란조림, 오이양배추무침, 김치",943,45
33,목요일,서울캠퍼스,308관,생활관식당,중식,3600,"(일품2) 제철면역부스터, 할매순두부청국장, 메콤계란조림, 오이양배추무침, 김치",768,46
34,목요일,서울캠퍼스,308관,생활관식당,중식,3800,"(일품3) 제육생채비빔밥, 메콤계란조림, 오이양배추무침, 김치",943,47
35,목요일,서울캠퍼스,308관,생활관식당,중식,1500,(일품4) 소떡소떡,300,48
36,목요일,서울캠퍼스,308관,생활관식당,석식,3200,"(한식) 김치돈육볶음, 어묵국, 엄지송이볶음, 건파래볶음, 무생채",948,49
37,목요일,안성캠퍼스,707관,카우잇츠,중식,4500,"(특식) 꼬막비빔밥, 두부감자된장국, 감자샐러드, 김치, 황도",740,50
38,목요일,안성캠퍼스,707관,카우잇츠,중식,3200,"(일품1) 등심돈까스, 미소된장국, 양배추샐러드, 단무지",830,51
39,목요일,안성캠퍼스,707관,카우잇츠,석식,3200,"(일품1) 육개장, 생선까스, 무말랭이, 김치",830,52
40,금요일,서울캠퍼스,310관,참슬기식당,중식,3200,"(일품1) 마파두부덮밥, 닭강정, 계란탕, 단무지, 요구르트",720,53
41,금요일,서울캠퍼스,310관,참슬기식당,중식,4500,"(특식) 부대찌개, 갈치구이, 치킨텐더샐러드, 오이생채, 깍두기",740,54
42,금요일,서울캠퍼스,308관,생활관식당,중식,3200,"(일품1) 바지락수제비탕, 부추전, 미역줄기볶음, 김치",950,55
43,금요일,서울캠퍼스,308관,생활관식당,중식,3800,"(일품2) 철판돼지고기팽이볶음, 부추전, 미역줄기볶음, 김치",913,56
44,금요일,서울캠퍼스,308관,생활관식당,중식,3800,"(일품3) 부대찌개쫄면, 부추전, 미역줄기볶음, 김치",892,57
45,금요일,서울캠퍼스,308관,생활관식당,중식,2000,(일품4) 깐풍기,432,58
46,금요일,서울캠퍼스,308관,생활관식당,석식,3200,"(한식) 깐풍돈가스, 단호박튀김, 양배추콘샐러드, 후리카케밥, 단무지",768,59
47,금요일,안성캠퍼스,707관,카우잇츠,중식,3200,"(일품1) 마파두부덮밥, 닭강정, 계란탕, 단무지, 요구르트",720,60
48,금요일,안성캠퍼스,707관,카우잇츠,중식,4500,"(특식) 부대찌개, 갈치구이, 치킨텐더샐러드, 오이생채, 깍두기",740,61
49,금요일,안성캠퍼스,707관,카우잇츠,석식,3200,"(일품1) 돈까스나베, 떡볶이, 황도, 단무지",768,62
50,토요일,서울캠퍼스,308관,생활관식당,중식,3200,"(일품1) 우거지해장국, 비엔나채소볶음, 우엉조림, 도토리묵김가루무침, 김치",890,63
51,토요일,서울캠퍼스,308관,생활관식당,석식,3200,"(한식) 볼케이노돈가스, 고구마맛탕, 김가루밥, 단무지",878,64
52,일요일,서울캠퍼스,308관,생활관식당,중식,3200,"(한식) 오징어야채볶음, 두부김치국, 사각어묵볶음, 미역양파무침, 김치",850,65
53,일요일,서울캠퍼스,308관,생활관식당,석식,3200,"(한식) 두반장닭볶음, 콩나물국, 느타리버섯볶음, 깻잎지, 김치",843,66
54,월요일,서울캠퍼스,308관,참슬기식당,조식,3200,고기,800,0
